index	symbol	source_file	line_no	raw
152	__OSInterruptInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2315	__OSInterruptInit = .text:0x800DF700; // type:function size:0x74 scope:global
153	__OSMaskInterrupts	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2317	__OSMaskInterrupts = .text:0x800DFA4C; // type:function size:0x88 scope:global
154	__OSUnmaskInterrupts	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2318	__OSUnmaskInterrupts = .text:0x800DFAD4; // type:function size:0x88 scope:global
155	__OSDispatchInterrupt	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2319	__OSDispatchInterrupt = .text:0x800DFB5C; // type:function size:0x344 scope:global
156	__OSModuleInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2321	__OSModuleInit = .text:0x800DFEEC; // type:function size:0x18 scope:global
157	__OSInitMemoryProtection	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2327	__OSInitMemoryProtection = .text:0x800E00C4; // type:function size:0x120 scope:global
158	OSRegisterResetFunction	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2328	OSRegisterResetFunction = .text:0x800E01E4; // type:function size:0x84 scope:global
159	__OSDoHotReset	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2330	__OSDoHotReset = .text:0x800E02D8; // type:function size:0x48 scope:global
160	OSResetSystem	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2331	OSResetSystem = .text:0x800E0320; // type:function size:0x268 scope:global
161	OSGetResetCode	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2332	OSGetResetCode = .text:0x800E0588; // type:function size:0x30 scope:global
162	__OSResetSWInterruptHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2333	__OSResetSWInterruptHandler = .text:0x800E05B8; // type:function size:0xF4 scope:global
163	OSGetResetButtonState	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2334	OSGetResetButtonState = .text:0x800E06AC; // type:function size:0x298 scope:global
164	__OSInitSram	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2337	__OSInitSram = .text:0x800E0ABC; // type:function size:0x134 scope:global
165	__OSLockSram	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2338	__OSLockSram = .text:0x800E0BF0; // type:function size:0x5C scope:global
166	__OSLockSramEx	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2339	__OSLockSramEx = .text:0x800E0C4C; // type:function size:0x5C scope:global
