# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]
fn_80024D54 NuShadowRestoreBackBuffer  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024DB8 NuMtlGetSysBuffSize  # mac [mac_lsw2_ppc NuMtlSetCurrentRenderPlane..NuFileWrite]
fn_80024F10 NuMtlReadEventDefault  # mac [mac_lsw2_ppc NuMtlSetCurrentRenderPlane..NuFileWrite]
fn_80024F40 NuFileWriteFloat  # mac [gcnemo NuFileWrite..NuTexReadBitmapMM]
fn_80024F44 NuFileWriteInt  # mac [gcnemo NuFileWrite..NuTexReadBitmapMM]
fn_80024F68 NuFileWriteUnsignedInt  # mac [gcnemo NuFileWrite..NuTexReadBitmapMM]
fn_800253A0 NuFileWriteShort  # mac [gcnemo NuFileWrite..NuTexReadBitmapMM]
fn_80027404 NuAnimDataCalcTime  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_8002746C NuAnimCurveWrite  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_800274BC NuAnimCurveRead  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027510 NuAnimCurveScale  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027564 NuAnimCurveSetWrite  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_800275E0 NuAnimCurveSetDestroy  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_8002765C NuCameraDestroy  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027668 NuCameraLookAt  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027688 NuCameraSetVPortClipMtx  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027690 NuCameraSetEx  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027694 NuVpSetScalingMtx  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027824 NuCameraGetPos  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_8002782C NuCameraGetCamMtx  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_80027830 NuCameraGetInvCamMtx  # mac [gcnemo NuAnimDataChunkDestroy..NuRndrTriStrip3dClip]
fn_800306F8 NuMtxInvH  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_8003083C NuMtxFix  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A0C NuMtxAlignX  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A20 NuMtxAlignY  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A34 NuMtxAlignZ  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A54 NuMtxLookAtX  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A64 NuMtxLookAtY  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A70 NuMtxLookAtZ  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030A98 NuMtxAddR  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030B7C NuMtxSubR  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80030E3C NuMtxSkewSymmetric  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_8003117C NuMtxGetXAxis  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80031524 NuMtxGetYAxis  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_800316D4 NuMtxGetZAxis  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80032768 NuMtxGetTranslation  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_8003294C NuMtxGetRow  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80032958 NuMtxGetCol  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80032AB0 NuMtxSetCol  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80032CB4 NuMtxSetRow  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_800339C0 NuMtxOrth  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80033A88 NuMtxCalcFaceY  # mac [gcnemo NuMtxInvRSS..NuCameraClipTestExtents]
fn_80049DC0 decv_decode  # crashwoc [norm-body-match; module=gamecode]
fn_8004BD4C callback  # crashwoc [norm-body-match; module=gamecode]
fn_8004BDD0 fstat_update  # crashwoc [norm-body-match; module=gamecode]
fn_8009D550 malloc_x  # crashwoc [norm-body-match; module=gamecode]
fn_8009FAD8 MoveScreen  # crashwoc [norm-body-match; module=gamecode]
fn_800B9EF0 ResetSeeds  # crashwoc [norm-body-match; module=gamecode]
fn_800C6FB8 NuHazeSetHazeConstants  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C71AC NuLigthSetPolyHazeMat  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C72D4 NuHGobjCreate  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C749C NuHGobjDestroyDynamic  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C757C NuHGobjDestroy  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C78EC NuHGobjLoad  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C7DB4 NuHGobjRead  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C8014 NuHGobjPOIMtx  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C88E0 NuLightInit  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C8CE4 NuLightClose  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C8E38 NuLightCreate  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C910C NuLightUpdate  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C9238 NuLightGetLight  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
fn_800C9490 NuLightSetAmbientLight  # mac [crashwoc_retail NuHazeInit..NuHGobjEvalAnim]
