source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw2	i386	0x2b2fa0	s	sym	other	__ZZ14IsXInputDevicePKN7MacDoze5_GUIDEE5C.384	_ZZ14IsXInputDevicePKN7MacDoze5_GUIDEE5C.384		Other
lsw2	i386	0x2b3160	s	sym	other	__ZZ10CubeImpactE5C.749	_ZZ10CubeImpactE5C.749		Other
lsw2	i386	0x2b3440	s	sym	other	_nxt.201401	nxt.201401		Other
lsw2	i386	0x2b35c0	s	sym	other	_KeyStructSizes	KeyStructSizes		Other
lsw2	i386	0x2b35d0	s	sym	other	_CurveGroupMasks	CurveGroupMasks		Other
lsw2	i386	0x2b36c0	s	sym	other	__ZZ14edbitsDrawCubeE5C.385	_ZZ14edbitsDrawCubeE5C.385		Other
lsw2	i386	0x2b37c0	s	sym	other	_theFrontEndResolutionsList.206399	theFrontEndResolutionsList.206399		Other
lsw2	i386	0x2b38e0	s	sym	other	__ZZ18pathEditorDrawPathP10EDAIPATH_sE5C.411	_ZZ18pathEditorDrawPathP10EDAIPATH_sE5C.411		Other
lsw2	i386	0x2b58e0	s	sym	other	__ZZ22pathEditor_OnPathCheckE5C.436	_ZZ22pathEditor_OnPathCheckE5C.436		Other
lsw2	i386	0x2b78c0	s	sym	other	__ZZ32pathEditorCreateSpecialRouteDataP8AIPATH_siP10EDAIPATH_sP9variptr_uS4_E5C.582	_ZZ32pathEditorCreateSpecialRouteDataP8AIPATH_siP10EDAIPATH_sP9variptr_uS4_E5C.582		Other
lsw2	i386	0x2b7d40	s	sym	other	__ZZ19get_texture_formatsPN9IndirectX10IDirect3D9ENS_10_D3DFORMATEP5RAD3DE5C.125	_ZZ19get_texture_formatsPN9IndirectX10IDirect3D9ENS_10_D3DFORMATEP5RAD3DE5C.125		Other
lsw2	i386	0x2b7db8	s	sym	other	_kCopyProtectionOpenGLDelay	kCopyProtectionOpenGLDelay		Other
lsw2	i386	0x2b7dc0	s	sym	other	_kAppModifiedTimeCheck	kAppModifiedTimeCheck		Other
lsw2	i386	0x2b7dc8	s	sym	other	_kAppModifiedTimeForCrash	kAppModifiedTimeForCrash		Other
lsw2	i386	0x2b7dd0	s	sym	other	_kAppModifiedTimeForExit	kAppModifiedTimeForExit		Other
lsw2	i386	0x2b7dd8	s	sym	other	_kAppModifiedTimeForDialog	kAppModifiedTimeForDialog		Other
lsw2	i386	0x2b7de0	s	sym	other	_kAppModifiedTimeOffset	kAppModifiedTimeOffset		Other
lsw2	i386	0x2b7df0	s	sym	other	_kGammaSliderSizeSquared	kGammaSliderSizeSquared		Other
lsw2	i386	0x2b7e68	s	sym	other	__ZTS16IO_SERVICE_OPEN_	_ZTS16IO_SERVICE_OPEN_		Other
lsw2	i386	0x2b7e7b	s	sym	other	__ZTS11CGameRanger	_ZTS11CGameRanger		Other
lsw2	i386	0x2b7e89	s	sym	other	__ZTS8CMacGame	_ZTS8CMacGame		Other
lsw2	i386	0x2b7e93	s	sym	other	__ZTS11ZCSignedApp	_ZTS11ZCSignedApp		Other
lsw2	i386	0x2b7ea1	s	sym	other	__ZTS16CReportGenerator	_ZTS16CReportGenerator		Other
lsw2	i386	0x2b7eb4	s	sym	other	__ZTS11CAboutPanel	_ZTS11CAboutPanel		Other
lsw2	i386	0x2b7ec2	s	sym	other	__ZTS21CAdvancedOptionsPanel	_ZTS21CAdvancedOptionsPanel		Other
lsw2	i386	0x2b7eda	s	sym	other	__ZTS18CDebugOptionsPanel	_ZTS18CDebugOptionsPanel		Other
lsw2	i386	0x2b7eef	s	sym	other	__ZTS19CExtrasOptionsPanel	_ZTS19CExtrasOptionsPanel		Other
lsw2	i386	0x2b7f05	s	sym	other	__ZTS18CGameOptionsDialog	_ZTS18CGameOptionsDialog		Other
lsw2	i386	0x2b7f1a	s	sym	other	__ZTS21CRegistryOptionsPanel	_ZTS21CRegistryOptionsPanel		Other
lsw2	i386	0x2b7f32	s	sym	other	__ZTS20CStartupOptionsPanel	_ZTS20CStartupOptionsPanel		Other
lsw2	i386	0x2b7f49	s	sym	other	__ZTS20CSupportOptionsPanel	_ZTS20CSupportOptionsPanel		Other
lsw2	i386	0x2b7f60	s	sym	other	__ZTS20CTestingOptionsPanel	_ZTS20CTestingOptionsPanel		Other
lsw2	i386	0x2b7f77	s	sym	other	__ZTS18CVideoOptionsPanel	_ZTS18CVideoOptionsPanel		Other
lsw2	i386	0x2b7f8c	S	sym	other	__ZTSN9IndirectX15ID3DXBaseEffectE	_ZTSN9IndirectX15ID3DXBaseEffectE		Other
lsw2	i386	0x2b7faa	S	sym	other	__ZTSN9IndirectX11ID3DXEffectE	_ZTSN9IndirectX11ID3DXEffectE		Other
lsw2	i386	0x2b7fc4	S	sym	other	__ZTSN9RepEffect10Effect_IntE	_ZTSN9RepEffect10Effect_IntE		Other
lsw2	i386	0x2b8000	D	data	data	_NXArgc	NXArgc		Other
lsw2	i386	0x2b8004	D	data	data	_NXArgv	NXArgv		Other
lsw2	i386	0x2b8008	D	data	data	_environ	environ		Other
lsw2	i386	0x2b800c	D	data	data	___progname	__progname		Other
lsw2	i386	0x2b8020	d	data	data	_gAppNotActive	gAppNotActive		Global
lsw2	i386	0x2b8024	d	data	data	_numgameloops_since_newlevel	numgameloops_since_newlevel		Other
lsw2	i386	0x2b8028	d	data	data	_numgameloops_since_newmode	numgameloops_since_newmode		Other
lsw2	i386	0x2b802c	d	data	data	_FRAMETIMEMUL	FRAMETIMEMUL		Other
lsw2	i386	0x2b8040	d	data	data	_fpstring3	fpstring3		Other
lsw2	i386	0x2b8060	d	data	data	_DRAWCHARMODELS	DRAWCHARMODELS		Other
lsw2	i386	0x2b8064	d	data	data	_DRAWSHOVEOBJECTS	DRAWSHOVEOBJECTS		Other
lsw2	i386	0x2b8068	d	data	data	_ResetOldFStop	ResetOldFStop		Other
lsw2	i386	0x2b806c	d	data	data	_thinning_level	thinning_level		Other
lsw2	i386	0x2b8070	d	data	data	_no_mainprocess	no_mainprocess		Other
lsw2	i386	0x2b8074	d	data	data	_do_multiframe_update	do_multiframe_update		Other
lsw2	i386	0x2b8078	d	data	data	_pause_i_pad	pause_i_pad		Other
lsw2	i386	0x2b807c	d	data	data	_editbuffer_end	editbuffer_end		Other
lsw2	i386	0x2b8080	d	data	data	_superbuffer_end	superbuffer_end		Other
lsw2	i386	0x2b8084	d	data	data	_superbuffer_ptr	superbuffer_ptr		Other
lsw2	i386	0x2b8088	d	data	data	_superbuffer_base	superbuffer_base		Other
lsw2	i386	0x2b808c	d	data	data	_characterbuffer_end	characterbuffer_end		Other
lsw2	i386	0x2b8090	d	data	data	_characterbuffer_ptr	characterbuffer_ptr		Other
lsw2	i386	0x2b8094	d	data	data	_characterbuffer_base	characterbuffer_base		Other
lsw2	i386	0x2b8098	d	data	data	_perm_debrissys	perm_debrissys		Other
lsw2	i386	0x2b809c	d	data	data	_permbuffer_end	permbuffer_end		Other
lsw2	i386	0x2b80a0	d	data	data	_permbuffer_ptr	permbuffer_ptr		Other
lsw2	i386	0x2b80a4	d	data	data	_permbuffer_base	permbuffer_base		Other
lsw2	i386	0x2b80a8	d	data	data	_original_permbuffer_base	original_permbuffer_base		Other
lsw2	i386	0x2b80ac	d	data	data	_big_icon_scene	big_icon_scene		Other
lsw2	i386	0x2b80b0	d	data	data	_starfield_scene	starfield_scene		Other
lsw2	i386	0x2b80b4	d	data	data	_vehicle_scene	vehicle_scene		Other
lsw2	i386	0x2b80b8	d	data	data	_things_scene	things_scene		Other
lsw2	i386	0x2b80bc	d	data	data	_hw_scene	hw_scene		Other
lsw2	i386	0x2b80c0	d	data	data	_HIGHRESGRAB	HIGHRESGRAB		Other
lsw2	i386	0x2b80c4	d	data	data	_aimessagesys	aimessagesys		Other
lsw2	i386	0x2b80c8	d	data	data	_APITXTOFF	APITXTOFF		Other
lsw2	i386	0x2b80cc	d	data	data	_GAMEDEMO	GAMEDEMO		Other
lsw2	i386	0x2b80d0	d	data	data	_DRAWBGLOAD	DRAWBGLOAD		Other
lsw2	i386	0x2b80d4	d	data	data	_BGLOAD	BGLOAD		Other
lsw2	i386	0x2b80d8	d	data	data	_LOADEROFF	LOADEROFF		Other
lsw2	i386	0x2b80dc	d	data	data	_PANELOFF	PANELOFF		Other
lsw2	i386	0x2b80e0	d	data	data	_HAZE	HAZE		Other
lsw2	i386	0x2b80e4	d	data	data	_COMPLEXSHADOWS	COMPLEXSHADOWS		Other
lsw2	i386	0x2b80e8	d	data	data	_NOTERRAINSTOP	NOTERRAINSTOP		Other
lsw2	i386	0x2b80ec	d	data	data	_LIFTPLAYER	LIFTPLAYER		Other
lsw2	i386	0x2b80f0	d	data	data	_NOAICREATURES	NOAICREATURES		Other
lsw2	i386	0x2b80f4	d	data	data	_editor_qfont_size	editor_qfont_size		Other
lsw2	i386	0x2b80f8	d	data	data	_nextgrab_resetcutborders	nextgrab_resetcutborders		Other
lsw2	i386	0x2b80fc	d	data	data	_cheatprogress	cheatprogress		Other
lsw2	i386	0x2b8100	d	data	data	_allshopextras	allshopextras		Other
