# Mac String Xrefs
# Total: 1054
# ref_addr | binary | str_addr | pattern | func_name | content

0x000759c8 | LSW2 PPC     | 0x0026f448 | abs_lis+op14    | _GameShadow                              | "im=""
0x000759ec | LSW2 PPC     | 0x0026f448 | abs_lis+op14    | _GameShadow                              | "im=""
0x000769bc | LSW2 PPC     | 0x0026e700 | abs_lis+op14    | _InterpolateRotationMatrix               | "it_oldheadmovement"
0x00077358 | LSW2 PPC     | 0x002724e8 | abs_lis+op34    | __Z20Grabber_SetVictimPosP7GRABBER       | "en file: %s"
0x0007a2f8 | LSW2 PPC     | 0x00290000 | abs_lis+op32    | _HothBattle_ManageBackgroundCreatures    | "rail 2 particles per second"
0x000819c8 | LSW2 PPC     | 0x0029648b | abs_lis+op34    | __Z20UpdateTrooperCannonsP11WORLDINFO_s  | "endIndices.y]);"
0x00081afc | LSW2 PPC     | 0x00291208 | abs_lis+op32    | __Z17HothEscapeB_ResetP11WORLDINFO_s     | "Control Configuration"
0x00081ebc | LSW2 PPC     | 0x0028a80b | abs_lis+op34    | __Z15UpdateAsteroidsv                    | "                    AGL_0_BIT
"
0x000831cc | LSW2 PPC     | 0x00290000 | abs_lis+op35    | __Z21CloudCityEscapeA_InitP11WORLDINFO_s | "rail 2 particles per second"
0x00083f7c | LSW2 PPC     | 0x0029105d | abs_lis+op34    | __Z18JabbasPalaceB_InitP11WORLDINFO_s    | "ms drawn %d"
0x000847d0 | LSW2 PPC     | 0x0029020f | abs_lis+op32    | __Z16SarlaccPitB_InitP11WORLDINFO_s      | "Instance Filter"
0x000847d4 | LSW2 PPC     | 0x0029020f | abs_lis+op32    | __Z16SarlaccPitB_InitP11WORLDINFO_s      | "Instance Filter"
0x000886a4 | LSW2 PPC     | 0x00291144 | abs_lis+op32    | _FindSceneStateObj                       | "R1"
0x0008aeec | LSW2 PPC     | 0x00293089 | abs_lis+op34    | _LoadPerm1                               | "Paste"
0x0009dd6c | LSW2 PPC     | 0x00270bf8 | abs_lis+op14    | _Map_UpdateSelectMode                    | "otOpponent"
0x0009fe6c | LSW2 PPC     | 0x00273e81 | abs_lis+op40    | __Z15MenuDrawPCVideoP6MENU_s             | "olde: Offset (%0.2f)"
0x000a6c24 | LSW2 PPC     | 0x00290004 | abs_lis+op32    | _GetVehicleSpeedMul                      | " 2 particles per second"
0x000aac38 | LSW2 PPC     | 0x00290020 | abs_lis+op32    | __Z9BlockCodeP12GameObject_siiii         | "mitter Debris"
0x000ab13c | LSW2 PPC     | 0x0029380f | abs_lis+op34    | __Z9BlockCodeP12GameObject_siiii         | "ce2 Integrated GPU"
0x000b04a4 | LSW2 PPC     | 0x00291088 | abs_lis+op32    | __Z12HeadMovementP12GameObject_s         | "l DIP calls %d"
0x000b04e4 | LSW2 PPC     | 0x00291088 | abs_lis+op32    | __Z12HeadMovementP12GameObject_s         | "l DIP calls %d"
0x000b04f0 | LSW2 PPC     | 0x00291088 | abs_lis+op32    | __Z12HeadMovementP12GameObject_s         | "l DIP calls %d"
0x000b591c | LSW2 PPC     | 0x00272424 | abs_lis+op34    | __Z12Animate_JEDIP12GameObject_s         | "uff/ref_grey.ddi_starfighter"
0x000b63e4 | LSW2 PPC     | 0x0029648b | abs_lis+op34    | __Z16Animate_DROIDEKAP12GameObject_s     | "endIndices.y]);"
0x000b6864 | LSW2 PPC     | 0x0027126c | abs_lis+op14    | __Z13Animate_BEASTP12GameObject_s        | "s/ai.pabled_rot_y="
0x000b6b0c | LSW2 PPC     | 0x00288b80 | abs_lis+op34    | _ApplyGravity                            | "story_only_trigger"
0x000b9e84 | LSW2 PPC     | 0x00271280 | abs_lis+op14    | __Z7ZapCodeP12GameObject_sii             | "_tuk"
0x000bab7c | LSW2 PPC     | 0x00268433 | abs_lis+op35    | _GameObjectStuffAfterAnimation           | "l_desk_on"
0x000bab80 | LSW2 PPC     | 0x00268433 | abs_lis+op35    | _GameObjectStuffAfterAnimation           | "l_desk_on"
0x000bc9e0 | LSW2 PPC     | 0x00290005 | abs_lis+op34    | __Z9ForceCodeP12GameObject_siiii         | "2 particles per second"
0x000c10bc | LSW2 PPC     | 0x00291018 | abs_lis+op32    | _MovePlayer_VEHICLEDIRECTIONAL           | "%3.1f"
0x000c1eb0 | LSW2 PPC     | 0x00294531 | abs_lis+op35    | __Z8TurnCodeP12GameObject_siP7GAMEPAD    | "dressV"
0x000c35e0 | LSW2 PPC     | 0x00291304 | abs_lis+op32    | _Move_CANNON                             | "CSOUNDVOLUME"
0x000d0d3c | LSW2 PPC     | 0x00291018 | abs_lis+op32    | _Obstacle_SetToStart                     | "%3.1f"
0x000d477c | LSW2 PPC     | 0x002714a8 | abs_lis+op14    | _DrawPlayerIcon                          | "cal_ratio"
0x000d4780 | LSW2 PPC     | 0x002714a8 | abs_lis+op14    | _DrawPlayerIcon                          | "cal_ratio"
0x000da300 | LSW2 PPC     | 0x00288b40 | abs_lis+op34    | _DrawPanel                               | "Lp"
0x000da3d8 | LSW2 PPC     | 0x00290f78 | abs_lis+op32    | _DrawPanel                               | "umes/Development/Projects/Gemini/Gemini/Sources/Gemini/Development/gameapi/gameapi_static/../gui/gam"
0x000da3f4 | LSW2 PPC     | 0x00290f78 | abs_lis+op32    | _DrawPanel                               | "umes/Development/Projects/Gemini/Gemini/Sources/Gemini/Development/gameapi/gameapi_static/../gui/gam"
0x000da41c | LSW2 PPC     | 0x00290f78 | abs_lis+op32    | _DrawPanel                               | "umes/Development/Projects/Gemini/Gemini/Sources/Gemini/Development/gameapi/gameapi_static/../gui/gam"
0x000dfd7c | LSW2 PPC     | 0x00290004 | abs_lis+op32    | _UpdatePickups                           | " 2 particles per second"
0x000e511c | LSW2 PPC     | 0x002714cc | abs_lis+op14    | _AddRipple                               | "set"
0x000e9900 | LSW2 PPC     | 0x00290fc8 | abs_lis+op32    | _LevChatterSfx                           | "pi_static/../gui/gamemenu/apisave.c"
0x000e9904 | LSW2 PPC     | 0x00290fc8 | abs_lis+op32    | _LevChatterSfx                           | "pi_static/../gui/gamemenu/apisave.c"
0x000e99b0 | LSW2 PPC     | 0x0029308b | abs_lis+op34    | _PlayRepeatSfx                           | "ste"
0x000ead94 | LSW2 PPC     | 0x0029348b | abs_lis+op34    | __Z17SpeederQuietCheckv                  | "ort: %d)"
0x000f57e0 | LSW2 PPC     | 0x00291018 | abs_lis+op32    | _SpeederChaseATATInOutMul                | "%3.1f"
0x00100930 | LSW2 PPC     | 0x00290489 | abs_lis+op34    | _UpdateStatusPacket                      | "inning"
0x00101c00 | LSW2 PPC     | 0x00292c89 | abs_lis+op35    | _UpdateStatusPacket                      | "Ignore Wall Splines"
0x00101c04 | LSW2 PPC     | 0x00292c89 | abs_lis+op35    | _UpdateStatusPacket                      | "Ignore Wall Splines"
0x001021d4 | LSW2 PPC     | 0x002973e8 | abs_lis+op32    | _UpdateStatusPacket                      | "BIENTCOLOR;"
0x00105124 | LSW2 PPC     | 0x00291018 | abs_lis+op32    | _TorpedoCode                             | "%3.1f"
0x00105130 | LSW2 PPC     | 0x00291018 | abs_lis+op32    | _TorpedoCode                             | "%3.1f"
0x00107900 | LSW2 PPC     | 0x00291088 | abs_lis+op32    | _edforLoadPage                           | "l DIP calls %d"
0x001082f4 | LSW2 PPC     | 0x00271be8 | abs_lis+op14    | __ZN16IO_SERVICE_OPEN_26IO_CONNECT_SET_P | "pilot"
0x001082f8 | LSW2 PPC     | 0x00271be8 | abs_lis+op14    | __ZN16IO_SERVICE_OPEN_26IO_CONNECT_SET_P | "pilot"
0x00108968 | LSW2 PPC     | 0x002885c0 | abs_lis+op34    | __ZN16IO_SERVICE_OPEN_21IO_SERVICE_WAIT_ | "_fall"
0x0010a12c | LSW2 PPC     | 0x00290006 | abs_lis+op40    | __Z19OpenGLInfoForDevicePP7GDevice       | " particles per second"
0x0010bba8 | LSW2 PPC     | 0x00290020 | abs_lis+op32    | __Z16GetInfoForDevicePP7GDevice          | "mitter Debris"
0x00115814 | LSW2 PPC     | 0x00288000 | abs_lis+op34    | __ZN8CMacGame23CheckSystemRequirementsEv | "10"
0x001194a4 | LSW2 PPC     | 0x00293089 | abs_lis+op34    | __ZN11CAboutPanelC1EP15OpaqueWindowPtrRK | "Paste"
0x001194a8 | LSW2 PPC     | 0x00293089 | abs_lis+op34    | __ZN11CAboutPanelC1EP15OpaqueWindowPtrRK | "Paste"
0x00119798 | LSW2 PPC     | 0x00293801 | abs_lis+op34    | __ZN11CAboutPanelC1EP15OpaqueWindowPtrRK | " 100/200"
0x0011a0e4 | LSW2 PPC     | 0x00291c60 | abs_lis+op34    | __ZN11CAboutPanel16CopyFromControlsEP8CC | "NUSTICK1_HAT_RIGHT"
0x0011a0e8 | LSW2 PPC     | 0x00291c60 | abs_lis+op34    | __ZN11CAboutPanel16CopyFromControlsEP8CC | "NUSTICK1_HAT_RIGHT"
0x0011a17c | LSW2 PPC     | 0x0029348b | abs_lis+op34    | __Z41__static_initialization_and_destruc | "ort: %d)"
0x0011a1ac | LSW2 PPC     | 0x00293c3c | abs_lis+op34    | __GLOBAL__I__ZN11CAboutPanelC2EP15Opaque | "Force FX 5900 Ultra"
