# LSW1 Demo Data/BSS Symbols
# name	address	section
_JediSFighterSpeedZ	001f0730	data
_JediStarfighterRedEp3Anim	001e1c48	data
_JediStarfighterYellowEp3Anim	001e1bc8	data
_JediTiltDeg	033f4734	bss
_Jetpos	001f0800	data
_JoinInTime	033b5068	bss
_JumboHomingDroidAnim	001e1b08	data
_KAMINOANHOVERHEIGHT	001e90cc	data
_KITPOS2Y	001f394c	data
_KITPOSY	001f3948	data
_KaaduAnim	001df488	data
_KaminoACutList	001e9618	data
_KaminoBeenIn	03425e18	bss
_KaminoCCutList	001e961c	data
_KaminoDCutList	001e9688	data
_KaminoDiscoSet	03425e10	bss
_KaminoECutList	001e968c	data
_KaminoFCutList	001e96d4	data
_KaminoIntro1CutList	001e9610	data
_KaminoIntro2CutList	001e9614	data
_KaminoOutro1CutList	001e9710	data
_KaminoOutro2CutList	001e9714	data
_KaminoOutside	03425e14	bss
_KaminoanAnim	001df888	data
_KaminoanDroidAnim	001dfe48	data
_KashyyykACutList	001e9ad8	data
_KashyyykB_mine_antinodes	033e2930	bss
_KashyyykB_mine_radius	001e9adc	data
_KashyyykB_mine_specials	033e2948	bss
_KashyyykDCutList	001e9ae4	data
_KiAdiMundiAnim	001e3548	data
_KitFistoAnim	001e3f88	data
_KitPart	03492c28	bss
_KitPartRTL	03492ae4	bss
_LDATA	001eef18	data
_LData	001e9bc0	data
_LEGOPOP	033e281c	bss
_LIFTPLAYER	00e481bc	bss
_LOADEROFF	00e481ac	bss
_LWORLD	001efcf8	data
_Language	033f3370	bss
_Lap	033e94c4	bss
_LevAlpha	033e9488	bss
_LevArea	033e9160	bss
_LevBlowUp	033e9300	bss
_LevComplete	033e9500	bss
_LevCutPlayed	033e9608	bss
_LevDeaths	033e0680	bss
_LevFlag	033e95a0	bss
_LevForce	033e9340	bss
_LevForceBlownUp	033e9490	bss
_LevHSpecial	033e91d0	bss
_LevKill	033e94f4	bss
_LevKillTime	033e9504	bss
_LevLock	033e94ec	bss
_LevLost	033e94fc	bss
_LevMtx	033e9448	bss
_LevObst	033e93c8	bss
_LevPhase	033e94f8	bss
_LevPickupFlag	033e9510	bss
_LevTime	033e9508	bss
_LevTriggerTime	033e94e8	bss
_LevWin	033e94f0	bss
_Level	001eef1c	data
_LevelCharacterGlobalIDFn	033f15c4	bss
_LevelCharacterNameFn	033f15c8	bss
_LevelCharacterTypeIDFn	033f15cc	bss
_LevelProgressData	033e06a0	bss
_LevelTimer	033e94d8	bss
